procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0  45584  91128   8548 172928    0   10    97    42   90  646  5  1 94  0  0
 1  0 143124  71248     84  84956    0 19508    33 19545  315 1251 48  7 37  9  0
 0  0 143124  62020    236  70044    0    0  2190    15  210  753 21  2 76  1  0
 1  0 143124  60780    252  71160    0    0   230     5  189  894 28  1 70  1  0
 0  0 143124  60160    396  71640    0    0   121     5  262 1208 36  1 63  0  0
 0  0 143124  89052   1644  66068    0    0   432     0  382 3539 30  3 67  0  0
 0  0 143124  86944   1652  68152    0    0   412     5  264 1429 43  1 56  0  0
 1  0 143124  85092   1812  70012    0    0   372   104  148  441 22  1 77  1  0
 0  0 143124  66616   1964  87224    0    0  3466    11  382  594 68  1 31  0  0
 0  0 143124  66616   1972  87316    0    0     1    26   84  306 14  0 86  0  0
 2  0 143124  66120   1980  87308    0    0     0    10  151  318 31  0 68  0  0
 1  0 143124  66120   1980  87684    0    0    74     0  164  335 29  0 70  0  0
 1  0 143124  64508   2920  89008    0    0   451    58  161  357 23  0 76  0  0
 0  0 143124  64384   2928  89008    0    0     0     5  153  349 30  0 70  0  0
 0  0 143124  64384   2936  89008    0    0     0     5  139  309 25  0 75  0  0
 0  0 143124  64384   2944  89008    0    0     0     6  185  350 37  0 63  0  0
 0  0 143124  62524   2960  90804    0    0   358    86  155  327 26  0 73  0  0
 0  0 143124  62400   2968  90804    0    0     0     5  208  359 44  0 56  0  0
 0  0 143124  60904   3476  91776    0    0   294     6  154  367 24  0 75  0  0
 1  0 143828  81612   3596  89220    0  141   490   145  210  496 37  1 62  0  0
 0  1 143820  80008   3604  91396   22    0   450    67  179  473 29  0 70  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 143068  65624   4576 102984  334    0  2830     5  316 1269 18  1 76  5  0
 0  0 143068 143012   4580 104364    0    0   269     0  172  700 24  1 75  0  0
 0  0 143068 181472   4588 104848    0    0    82     4   70  560  1  1 98  0  0
 0  0 143068 253744   4872 110864    0    0  1256     5  124  732  3  1 94  2  0
 0  0 143068 284248   4900 115300    0    0   883    90  140  973  7  1 90  1  0
 0  0 143068 301708   4916 116856    0    0   311    17  184 1171  8  1 91  0  0
 0  0 143068 301708   4924 117220    0    0    76    33  118  784  2  1 96  0  0
 1  0 143068 269964   5060 141636    0    0  2951     2  253 2234 12  3 83  2  0
 1  0 143068 261904   5072 143936    0    0   234    14  332 2949 25  4 71  0  0
 0  0 143068 253728   5088 143704    0    0    61   133  346 2977 25  4 70  0  0
