procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 493644 351640  13720 176792    8   66   119    99  107  761  7  1 92  0  0
 1  0 493636 271116  13876 177660    6    0   192    63  164 1071 21  1 78  0  0
 1  0 493636 113728  13884 177656    0    0     0     3  270 1192 49  2 48  0  0
 0  0 499308  77960  12804 140648    0 1134     1  1144  309 1521 52  3 46  0  0
 1  0 500140  78992  10536 104168    6  166    40   204  336  753 63  2 35  0  0
 1  0 500140  78868  10696 104292    0    0    29    52  235  891 46  1 54  0  0
 0  0 500140  78248  11292 104360    0    0   120     4  259  621 50  1 49  0  0
 0  0 500120  77504  11716 104652    6    0   138     3  333 1900 53  2 45  0  0
 2  0 500120  77380  11724 104716    0    0     2     3  270  920 54  0 46  0  0
 1  0 500120  77256  11732 104784    0    0     2    64  240  725 48  1 52  0  0
 2  0 500120  77256  11740 104848    0    0     2     3  175  494 34  0 66  0  0
 0  0 500120  77132  11748 104904    0    0     1     3  324  578 70  0 30  0  0
 0  0 500120  77008  11756 104904    0    0     0     3  147  763 26  0 74  0  0
 1  0 500120  77008  11772 104908    0    0     0    72  370  970 82  1 17  0  0
 0  0 500104  76884  11780 104908    8    0     8     4  195 1123 28  1 71  0  0
 3  0 500104  76884  11788 104908    0    0     0     4  250  705 51  0 49  0  0
 0  0 500104  76512  11936 105040    0    0    54    47  286  640 58  0 42  0  0
 0  0 500104  76264  11944 105076    0    0     7     3  199  490 38  0 62  0  0
 0  0 500104  76264  11952 105076    0    0     0     3  335  583 71  0 29  0  0
 1  0 500104  76264  11952 105072    0    0     0     0  142  511 24  0 75  0  0
 4  0 500104  76264  11960 105072    0    0     0     3  271  498 58  0 42  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0 500104  76264  11984 105076    0    0     0    87  251  869 48  0 51  0  0
 0  0 500096  76264  11992 105076    3    0     3     6  209  786 36  1 63  0  0
 0  0 498280 149068  12704 106164  694    0  1030    79  457 1589 54  2 44  0  0
 0  0 498252 265908  12716 107128   26    0   219     3  120 1300  3  2 95  0  0
 0  0 498252 423264  12724 107116    0    0     0     2  139 1443  4  1 95  0  0
 0  0 498248 419196  12740 107280    1    0     1    98  151 1474  4  2 94  0  0
 0  0 498248 417088  12876 109268    0    0   421     3  101  770  2  0 97  1  0
 0  0 498244 417088  12892 109268    0    0     0    10  147 1474  4  1 94  0  0
 0  0 498244 416964  12904 109260    0    0     1    14  103  829  2  1 97  0  0
 0  0 498244 414972  12948 110568    0    0   259    50  106  734  2  1 96  1  0
 0  0 498244 415096  12956 110568    0    0     0     6   83  765  2  0 98  0  0
 0  0 498244 415724  12964 110564    0    0     0     6  107  930  3  1 96  0  0
 0  0 498244 415724  12972 110560    0    0     0     3  121 1322  4  1 95  0  0
 0  0 498240 416716  12972 110564    4    0     4     1  145 1734  5  1 93  0  0
 0  0 498240 423792  12980 110776    0    0    42     6  137 1804  3  1 96  0  0
 0  0 498240 423536  12996 110780    0    0     0    90   85  675  3  0 97  0  0
 0  0 498240 423792  13012 110776    0    0     0    10   83  744  2  0 97  0  0
 0  0 498240 423528  13020 110784    0    0     0    26  101  987  2  1 97  0  0
 0  0 498240 423280  13028 110784    0    0     0     6   98  986  2  1 97  0  0
 0  0 498240 416096  13028 110776    0    0     0     0  111 1153  4  0 96  0  0
 0  0 498240 423040  13036 110784    3    0     3     5  119 1270  5  1 94  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0 498192 421916  13180 110828   17    0    45     6  156 1582  6  3 91  0  0
 0  0 498144 414608  13188 110828   17    0    17    11  129 1064  3  1 95  0  0
 0  0 498144 420552  13224 111724    3    0   186   128  161 1739  5  1 93  1  0
 0  0 498144 421312  13232 111732    0    0     0     7   99  807  2  0 98  0  0
 0  0 498112 413616  13240 111724    8    0     8     6  118 1047  4  2 94  0  0
 0  0 498112 413492  13240 111736    0    0     0     3  121  969  3  1 97  0  0
 0  0 498108 421188  13248 111736    2    0     2    66   97 1016  3  1 96  0  0
 0  0 498108 414244  13256 111740    0    0     0    10  127 1176  3  1 96  0  0
 0  0 498108 421064  13264 111732    0    0     0     3   92  797  2  0 97  0  0
 0  0 498108 419700  13292 111900    0    0    37     7  106  832  3  1 96  0  0
 0  0 498108 418948  13308 111904    0    0     0    86   87  709  3  1 96  0  0
 0  0 498108 419204  13316 111908    0    0     0     7   83  663  2  1 97  0  0
 0  0 498104 412880  13324 111912    1    0     1    23  116 1196  3  1 95  0  0
 0  0 498104 412880  13324 111912    0    0     0    11   99  753  2  0 97  0  0
 0  0 498100 419700  13340 112024    1    0    25     8  106  926  2  1 97  0  0
 0  0 498100 419700  13348 112024    0    0     1     8   85  646  2  0 97  0  0
 0  0 498100 419700  13356 112024    1    0     1     3  112 1370  2  1 97  0  0
 0  0 498100 412632  13356 112028    0    0     0     1  136 1105  4  1 95  0  0
 0  0 498100 419452  13384 112036    0    0     1   115  137 1314  3  1 96  0  0
